module,class_name,node_id,iso_class,iso_node_id
nodes_pixverse,PixverseTransitionVideoNode,PixverseTransitionVideoNode,PixverseTransitionVideoNode_ISO,PixverseTransitionVideoNode_ISO
nodes_recraft,RecraftColorRGBNode,RecraftColorRGB,RecraftColorRGBNode_ISO,RecraftColorRGB_ISO
nodes_recraft,RecraftControlsNode,RecraftControls,RecraftControlsNode_ISO,RecraftControls_ISO
nodes_recraft,RecraftStyleV3RealisticImageNode,RecraftStyleV3RealisticImage,RecraftStyleV3RealisticImageNode_ISO,RecraftStyleV3RealisticImage_ISO
nodes_recraft,RecraftStyleV3DigitalIllustrationNode,RecraftStyleV3DigitalIllustration,RecraftStyleV3DigitalIllustrationNode_ISO,RecraftStyleV3DigitalIllustration_ISO
nodes_recraft,RecraftStyleV3VectorIllustrationNode,RecraftStyleV3VectorIllustrationNode,RecraftStyleV3VectorIllustrationNode_ISO,RecraftStyleV3VectorIllustrationNode_ISO
nodes_recraft,RecraftStyleV3LogoRasterNode,RecraftStyleV3LogoRaster,RecraftStyleV3LogoRasterNode_ISO,RecraftStyleV3LogoRaster_ISO
nodes_recraft,RecraftStyleInfiniteStyleLibrary,RecraftStyleV3InfiniteStyleLibrary,RecraftStyleInfiniteStyleLibrary_ISO,RecraftStyleV3InfiniteStyleLibrary_ISO
nodes_recraft,RecraftTextToImageNode,RecraftTextToImageNode,RecraftTextToImageNode_ISO,RecraftTextToImageNode_ISO
nodes_recraft,RecraftImageToImageNode,RecraftImageToImageNode,RecraftImageToImageNode_ISO,RecraftImageToImageNode_ISO
nodes_recraft,RecraftImageInpaintingNode,RecraftImageInpaintingNode,RecraftImageInpaintingNode_ISO,RecraftImageInpaintingNode_ISO
nodes_recraft,RecraftTextToVectorNode,RecraftTextToVectorNode,RecraftTextToVectorNode_ISO,RecraftTextToVectorNode_ISO
nodes_recraft,RecraftVectorizeImageNode,RecraftVectorizeImageNode,RecraftVectorizeImageNode_ISO,RecraftVectorizeImageNode_ISO
nodes_recraft,RecraftReplaceBackgroundNode,RecraftReplaceBackgroundNode,RecraftReplaceBackgroundNode_ISO,RecraftReplaceBackgroundNode_ISO
nodes_recraft,RecraftRemoveBackgroundNode,RecraftRemoveBackgroundNode,RecraftRemoveBackgroundNode_ISO,RecraftRemoveBackgroundNode_ISO
nodes_recraft,RecraftCrispUpscaleNode,RecraftCrispUpscaleNode,RecraftCrispUpscaleNode_ISO,RecraftCrispUpscaleNode_ISO
nodes_recraft,RecraftCreativeUpscaleNode,RecraftCreativeUpscaleNode,RecraftCreativeUpscaleNode_ISO,RecraftCreativeUpscaleNode_ISO
nodes_rodin,Rodin3D_Regular,Rodin3D_Regular,Rodin3D_Regular_ISO,Rodin3D_Regular_ISO
